project_name,commit_after,commit_before,commit_date,bug_type_name,bug_type_id,bug_category,status,url,src_files,test_files,func_start,func_end,test_name,test_status
CESNET___libyang,ea0f96cf45deed39fb98b28f30d0acdc304db243,09abf888c0f33904f05d2c93c4465a92927fd500,2022-12-20T07:48:33Z,Logic Organization: Improper Condition Organization,D.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/ea0f96cf45deed39fb98b28f30d0acdc304db243,src/printer_xml.c,tests/utests/data/test_new.c,287,294,utest_new,success2
CESNET___libyang,509d721c2b61088c1e491c330c48b0cc01dc191e,39ed7a2d6756aba40eff2e2f6e2b7c96449aab1f,2022-02-21T09:00:03Z,Memory Error: Null Pointer Dereference,C.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/509d721c2b61088c1e491c330c48b0cc01dc191e,src/tree_data.c,tests/utests/types/yang_types.c,84,90,utest_yang_types,success2
CESNET___libyang,7c7783df75b9a5dfc6cc22c70b9467d47aa913d2,613bc03456b9716408ba87184c266b9850f979ac,2020-04-08T13:34:39Z,Logic Organization: Improper Condition Organization,D.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/7c7783df75b9a5dfc6cc22c70b9467d47aa913d2,src/tree_schema_compile.c,tests/src/test_tree_schema_compile.c,4749,4755,src_tree_schema_compile,success2
CESNET___libyang,cdcace7230352a25eb21a488e7f42d004b3de3e1,054aca293617ab1c7ee48a7dca6906ecad4130ff,2017-09-06T13:14:45Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/cdcace7230352a25eb21a488e7f42d004b3de3e1,src/log.c,tests/api/test_tree_schema.c,472,478,test_tree_schema,success2
CESNET___libyang,350a6bf69e03d19fe996cba992b49556ae2ce8ab,95485ea4036af9c93ac3bd756c8c20509a717d4e,2021-05-25T06:50:09Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/350a6bf69e03d19fe996cba992b49556ae2ce8ab,src/json.c,tests/utests/basic/test_json.c,428,434,utest_json,success2
CESNET___libyang,b6ecaeaa0391745ec9054cc4351ac4049317576c,721b6f65ed98106ea3ce94fab7be9376cf64d200,2021-02-08T08:01:22Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/b6ecaeaa0391745ec9054cc4351ac4049317576c,src/xpath.c,tests/utests/data/test_validation.c,8432,8438,utest_validation,success2
CESNET___libyang,a353cce850560bea761d67a2fbcaf9cb271f586f,cb798b15339388572ede29205112fe8d1bcf1be5,2022-11-14T09:09:55Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/a353cce850560bea761d67a2fbcaf9cb271f586f,src/xpath.c,tests/utests/basic/test_xpath.c,6584,6590,utest_xpath,success2
CESNET___libyang,fff4dca0da454cdff4c8fab70b4a62c0674fb862,320f34305dd9c7d14af5f13bec18e477b37f5db8,2021-10-11T12:26:01Z,Memory Error: Null Pointer Dereference,C.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/fff4dca0da454cdff4c8fab70b4a62c0674fb862,src/xpath.c,tests/utests/basic/test_xpath.c,6781,6787,utest_xpath,success2
CESNET___libyang,812a5bff4857a485db96fe7269af944d0bdb91b3,b5bc93ee6e0edfc3fb4e9ffbd972037bac42a13a,2019-09-09T07:18:05Z,Memory Error: Null Pointer Dereference,C.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/812a5bff4857a485db96fe7269af944d0bdb91b3,src/tree_schema_compile.c,tests/src/test_tree_schema_compile.c,3670,3677,src_tree_schema_compile,success2
CESNET___libyang,140ede9c075c604632a87ee3bf0e881fb485d0e7,3957b3370afc80ea33720dae9049a9a8d2df238b,2022-05-10T07:27:30Z,Signature: Incorrect Variable Usage,A.4,bug,1,https://api.github.com/repos/CESNET/libyang/commits/140ede9c075c604632a87ee3bf0e881fb485d0e7,src/tree_data.c,tests/utests/data/test_validation.c,558,564,utest_validation,success2
CESNET___libyang,9cdb9e6f60d6bae42675bc3b46f5741e50b62e68,5057c2e0181de68cd43ebcc9059121bab8602107,2021-05-18T08:51:54Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/9cdb9e6f60d6bae42675bc3b46f5741e50b62e68,src/parser_xml.c,tests/utests/data/test_parser_xml.c,293,307,utest_parser_xml,success2
CESNET___libyang,92cc8517fcb85dcfbb93842758571f721c49c9cb,1b1e925e40396609cadfe4e780f2adef2896d37a,2019-04-25T07:57:06Z,Logic Organization: Improper Condition Organization,D.1,bug,1,https://api.github.com/repos/CESNET/libyang/commits/92cc8517fcb85dcfbb93842758571f721c49c9cb,src/tree_schema_compile.c,tests/src/test_tree_schema_compile.c,2017,2148,src_tree_schema_compile,success2
CESNET___libyang,f128972045a5d4a36854ddc0a75d99803ff81f6d,ecdc2222aea827975871e45b153ab9aaf3f8590d,2022-01-24T08:42:29Z,Signature: Incorrect Function Return Value,A.3,bug,1,https://api.github.com/repos/CESNET/libyang/commits/f128972045a5d4a36854ddc0a75d99803ff81f6d,src/plugins_types.c,tests/utests/schema/test_tree_schema_compile.c,155,163,utest_tree_schema_compile,success2
CESNET___libyang,24bd22f5e40f37fb6ae796bb8eebc9de58bae00e,fd86c5c742590679c4d0731e516fb6674363a003,2022-02-02T10:16:56Z,Sanitizer: Control Expression Error,B,bug,1,https://api.github.com/repos/CESNET/libyang/commits/24bd22f5e40f37fb6ae796bb8eebc9de58bae00e,src/xpath.c,tests/utests/schema/test_tree_schema_compile.c,5472,5478,utest_tree_schema_compile,success2
